Term,Section,Acronym,Definition EN,Definition FR,Tooltip EN,Tooltip FR,,
STAC Browser,Data & Technical Infrastructure,,A web-based viewer for browsing datasets stored using the Spatio-Temporal Asset Catalogue (STAC) standard,Un visualiseur web permettant d’explorer les jeux de données stockés selon le standard Spatio-Temporal Asset Catalogue (STAC),Online browser for STAC metadata,Navigateur en ligne des métadonnées STAC,,
Jupyter Notebook,Data & Technical Infrastructure,,"An open-source computational notebook used for coding, analysis, and visualization in Python or R","Un notebook computationnel open-source utilisé pour la programmation, l’analyse et la visualisation en Python ou R",Interactive coding and analysis environment,Environnement interactif de codage et d’analyse,,
Observable Notebook,Data & Technical Infrastructure,,A web-based notebook platform that allows interactive visualizations and storytelling in JavaScript,Une plateforme de notebooks en ligne permettant des visualisations et des récits interactifs en JavaScript,Online tool for data stories and visual apps,Outil en ligne pour les récits et applications visuelles de données,,
Hotspot Map,Data & Technical Infrastructure,,"A map identifying regions where high hazard, exposure, and vulnerability overlap, showing adaptation priorities","Une carte identifiant les régions où les aléas, l’exposition et la vulnérabilité sont élevés, mettant en évidence les priorités d’adaptation",Map showing where climate risks are most severe,Carte montrant où les risques climatiques sont les plus graves,,
Suitability Layer,Data & Technical Infrastructure,,"A spatial layer that shows where specific crops, practices, or technologies are most suitable under given conditions","Une couche spatiale montrant où certaines cultures, pratiques ou technologies sont les plus adaptées selon les conditions données",Map showing where something is best adapted,Carte indiquant où un élément est le mieux adapté,,
Prioritization Tool,Data & Technical Infrastructure,,An analytical tool that helps rank or compare regions or actions based on selected criteria or indicators,Un outil analytique qui aide à classer ou comparer des régions ou des actions selon des critères ou indicateurs choisis,Tool for ranking or scoring adaptation priorities,Outil pour classer ou hiérarchiser les priorités d’adaptation,,
National Adaptation Plan,"Governance, Policy & Institutions",NAP,A country’s formal plan outlining medium- and long-term strategies for adapting to climate change,Le plan officiel d’un pays définissant ses stratégies à moyen et long terme pour s’adapter au changement climatique,National roadmap for adaptation actions,Feuille de route nationale pour les actions d’adaptation,,
Nationally Determined Contribution,"Governance, Policy & Institutions",NDC,A country’s official pledge under the Paris Agreement to reduce emissions and build resilience,L’engagement officiel d’un pays dans le cadre de l’Accord de Paris pour réduire les émissions et renforcer la résilience,National climate commitment under Paris Agreement,Engagement climatique national dans le cadre de l’Accord de Paris,,
Green Climate Fund,"Governance, Policy & Institutions",GCF,A major global fund that finances projects supporting climate adaptation and mitigation in developing countries,Un grand fonds mondial finançant des projets d’adaptation et d’atténuation du changement climatique dans les pays en développement,UN fund for climate adaptation and mitigation,Fonds des Nations Unies pour l’adaptation et l’atténuation du climat,,
Global Environment Facility,"Governance, Policy & Institutions",GEF,A global partnership providing grants and financing for environmental and climate-related projects,Un partenariat mondial fournissant des subventions et financements pour des projets environnementaux et climatiques,International funding mechanism for sustainability,Mécanisme international de financement pour la durabilité,,
Climate Finance,"Governance, Policy & Institutions",,"Financial flows dedicated to supporting climate adaptation, mitigation, and resilience-building efforts","Les flux financiers dédiés au soutien de l’adaptation, de l’atténuation et du renforcement de la résilience face au climat",Funding aimed at tackling climate change,Financement destiné à lutter contre le changement climatique,,
Development Planning,"Governance, Policy & Institutions",,"The process of integrating climate, economic, and social objectives into national or regional development strategies","Le processus d’intégration des objectifs climatiques, économiques et sociaux dans les stratégies nationales ou régionales de développement",Coordinating growth and climate goals in policy,Coordination entre croissance et objectifs climatiques dans les politiques,,
Investment Portfolio,"Governance, Policy & Institutions",,A collection of climate- or development-related investments managed by governments or institutions,"Un portefeuille d’investissements liés au climat ou au développement, géré par des gouvernements ou des institutions",Group of projects or funds supporting development,Ensemble de projets ou de fonds soutenant le développement,,
Policy Framework,"Governance, Policy & Institutions",,"A structured set of policies, laws, and strategies guiding climate or sectoral decision-making","Un ensemble structuré de politiques, lois et stratégies guidant la prise de décision climatique ou sectorielle",Set of rules and plans shaping climate action,Ensemble de règles et de plans orientant l’action climatique,,
Stakeholder Engagement,"Governance, Policy & Institutions",,"The active involvement of stakeholders, including governments, communities, and private sector, in decision processes","La participation active des parties prenantes – gouvernements, communautés, secteur privé – aux processus décisionnels",Process of involving partners in planning and action,Processus d’implication des partenaires dans la planification et l’action,,
Decision-Makers,"Governance, Policy & Institutions",,Individuals or groups responsible for making or influencing policy and investment decisions,Les individus ou groupes responsables de la formulation ou de l’influence des politiques et des décisions d’investissement,People who shape or approve major decisions,Personnes qui conçoivent ou approuvent les décisions majeures,,
Governance Systems,"Governance, Policy & Institutions",,"The institutions, policies, and processes that determine how decisions are made and implemented","Les institutions, politiques et processus qui déterminent la manière dont les décisions sont prises et mises en œuvre",Structures and systems that manage governance,Structures et systèmes assurant la gouvernance,,
Institutional Capacity,"Governance, Policy & Institutions",,"The ability of organizations and systems to effectively plan, coordinate, and deliver climate or development actions","La capacité des organisations et des systèmes à planifier, coordonner et exécuter efficacement les actions climatiques ou de développement",Strength of institutions to manage and act,Capacité des institutions à gérer et à agir efficacement,,
Public Policy,"Governance, Policy & Institutions",,Government actions and regulations that address public issues such as climate change or agriculture,Les actions et réglementations publiques visant à répondre à des enjeux tels que le changement climatique ou l’agriculture,Official laws and actions guiding governance,Lois et actions officielles encadrant la gouvernance,,
Policy Design,"Governance, Policy & Institutions",,The process of developing effective and evidence-based policy instruments to achieve defined goals,Le processus d’élaboration d’instruments politiques efficaces et fondés sur des données probantes pour atteindre des objectifs définis,Creating practical policies for specific aims,Création de politiques pratiques pour des objectifs précis,,
Program Implementation,"Governance, Policy & Institutions",,The execution of programs or projects to achieve planned adaptation or development outcomes,La mise en œuvre de programmes ou projets visant à atteindre les résultats planifiés en matière d’adaptation ou de développement,Putting plans and projects into action,Mise en œuvre de plans et de projets,,
Scenario Analysis,Methodology & Analysis,,Exploring alternative future conditions or decisions through modeled projections or narratives,L’exploration de conditions ou décisions futures alternatives à travers des projections ou des scénarios modélisés,Testing “what-if” scenarios for planning,Test de scénarios « et si » pour la planification,,
Spatial Modelling,Methodology & Analysis,,The use of spatial data and models to understand geographic patterns and predict future outcomes,L’utilisation de données spatiales et de modèles pour comprendre les schémas géographiques et prédire les résultats futurs,Mapping and simulating spatial processes,Cartographie et modélisation des processus spatiaux,,
Economic Modelling,Methodology & Analysis,,"The application of economic models to assess costs, benefits, and trade-offs of adaptation options","L’application de modèles économiques pour évaluer les coûts, bénéfices et compromis des options d’adaptation",Using economics to guide climate decisions,Utilisation de l’économie pour orienter les décisions climatiques,,
Multi-Criteria Analysis,Methodology & Analysis,MCA,"A method for evaluating and ranking options using several criteria such as cost, impact, and feasibility","Une méthode permettant d’évaluer et de classer des options selon plusieurs critères comme le coût, l’impact et la faisabilité",Comparing options based on multiple factors,Comparaison d’options selon plusieurs critères,,
Systems Thinking,Methodology & Analysis,,A holistic approach that examines how parts of a system interact and influence one another,Une approche holistique qui examine comment les différentes parties d’un système interagissent et s’influencent mutuellement,Looking at the whole system and its linkages,Approche systémique considérant les liens entre éléments,,
Integrated Assessment,Methodology & Analysis,,"Combining information from multiple disciplines to assess overall environmental, social, and economic outcomes","La combinaison d’informations issues de plusieurs disciplines pour évaluer les résultats environnementaux, sociaux et économiques dans leur ensemble",Merging data from different fields for full analysis,Fusion de données de différents domaines pour une analyse complète,,
Evidence-Based Decision-Making,Methodology & Analysis,,Using data and evidence to guide policy or investment decisions rather than assumptions,L’utilisation de données et de preuves pour orienter les décisions politiques ou d’investissement plutôt que des suppositions,Making choices based on solid data,Prise de décision fondée sur des données probantes,,
Participatory Planning,Methodology & Analysis,,Involving communities and stakeholders directly in planning and decision processes,L’implication directe des communautés et des parties prenantes dans la planification et les processus décisionnels,Collaborative planning with users and partners,Planification collaborative avec les utilisateurs et partenaires,,
Impact Pathways,Methodology & Analysis,,"The structured, visual framework mapping the logical sequence from context-specific climatic and socio-economic hazards to concrete interventions and their short- and long-term results",Le cadre visuel structuré qui cartographie la séquence logique reliant les risques climatiques et socio-économiques spécifiques aux interventions concrètes et à leurs résultats à court et long terme,Logical chain linking actions to results,Chaîne logique reliant les actions aux résultats,,
Trade-offs,Methodology & Analysis,,Balancing competing priorities where improving one outcome may reduce another,L’équilibre entre des priorités concurrentes où l’amélioration d’un résultat peut en réduire un autre,Balancing benefits and costs between choices,Équilibre entre avantages et coûts des différentes options,,
Synergies,Methodology & Analysis,,Identifying areas where actions produce mutually reinforcing positive effects,L’identification des domaines où les actions produisent des effets positifs mutuellement renforçants,When actions benefit multiple goals at once,Quand les actions profitent à plusieurs objectifs à la fois,,
Baseline Assessment,Methodology & Analysis,,Evaluating the starting conditions before an intervention to measure future change,L’évaluation des conditions de départ avant une intervention afin de mesurer les changements futurs,Establishing the reference point for comparison,Établissement du point de référence pour la comparaison,,
Sensitivity Analysis,Methodology & Analysis,,Examining how results change when key assumptions or variables are altered,L’examen de la façon dont les résultats varient lorsque les hypothèses ou variables clés sont modifiées,Testing how sensitive outcomes are to inputs,Analyse de la sensibilité des résultats aux entrées,,
Uncertainty Analysis,Methodology & Analysis,,Assessing the degree of confidence or variability in model results or data,L’évaluation du degré de confiance ou de la variabilité dans les résultats ou données des modèles,Measuring confidence and reliability in results,Mesure du niveau de confiance et de fiabilité des résultats,,
Spatial Aggregation,Methodology & Analysis,,Combining detailed data into broader spatial or thematic summaries for analysis,La combinaison de données détaillées en résumés spatiaux ou thématiques plus larges pour l’analyse,Summarizing data across regions or scales,Synthèse des données entre régions ou échelles,,
Data Harmonization,Methodology & Analysis,,Aligning and standardizing datasets from different sources for consistent analysis,L’alignement et la standardisation de jeux de données issus de différentes sources pour une analyse cohérente,Making diverse data compatible for use together,Harmonisation de données diverses pour un usage commun,,
Outcome Harvesting,Methodology & Analysis,,"A method for identifying and verifying changes or results influenced by a project or program, especially where outcomes are complex","Une méthode visant à identifier et vérifier les changements ou résultats influencés par un projet ou un programme, en particulier lorsque les effets sont complexes",Approach to assess real-world results from actions,Approche d’évaluation des résultats réels des actions menées,,
Sub-Saharan Africa,Regional & Geographic Terms,SSA,"The region of Africa south of the Sahara Desert, often the main geographic focus for Atlas analyses","La région de l’Afrique située au sud du désert du Sahara, souvent principale zone géographique d’analyse de l’Atlas",Main Atlas focus region in Africa,Principale région d’étude de l’Atlas en Afrique,,
East Africa,Regional & Geographic Terms,,"The eastern subregion of Africa, including countries such as Kenya, Ethiopia, and Tanzania","La sous-région orientale de l’Afrique, incluant des pays tels que le Kenya, l’Éthiopie et la Tanzanie",Atlas region covering eastern African countries,Région de l’Atlas couvrant les pays d’Afrique de l’Est,,
West Africa,Regional & Geographic Terms,,"The western subregion of Africa, including countries such as Nigeria, Ghana, and Senegal","La sous-région occidentale de l’Afrique, incluant des pays tels que le Nigeria, le Ghana et le Sénégal",Atlas region covering western African countries,Région de l’Atlas couvrant les pays d’Afrique de l’Ouest,,
Southern Africa,Regional & Geographic Terms,,"The southern subregion of Africa, including countries such as Zambia, Zimbabwe, and South Africa","La sous-région australe de l’Afrique, incluant des pays tels que la Zambie, le Zimbabwe et l’Afrique du Sud",Atlas region covering southern African countries,Région de l’Atlas couvrant les pays d’Afrique australe,,
North Africa,Regional & Geographic Terms,,"The northern subregion of Africa, including countries such as Egypt, Morocco, and Tunisia","La sous-région septentrionale de l’Afrique, incluant des pays tels que l’Égypte, le Maroc et la Tunisie",Atlas region covering northern African countries,Région de l’Atlas couvrant les pays d’Afrique du Nord,,
Regional Hub,Regional & Geographic Terms,,"A regional coordination point that supports Atlas activities, data management, and partnerships","Un point de coordination régional qui soutient les activités, la gestion des données et les partenariats de l’Atlas",Regional node for coordination and data sharing,Point de coordination régional pour la coordination et le partage de données,,
Country Profiles,Regional & Geographic Terms,,"Summaries of climate risks, adaptation needs, and key indicators at the national level","Des résumés des risques climatiques, des besoins d’adaptation et des indicateurs clés au niveau national",Country-level summaries of Atlas findings,Synthèses nationales des résultats de l’Atlas,,
Administrative Boundaries,Regional & Geographic Terms,,"The official boundaries defining countries, provinces, or districts used for spatial analysis","Les limites officielles définissant les pays, provinces ou districts utilisés pour l’analyse spatiale",Political or administrative map borders,Frontières politiques ou administratives sur les cartes,,
District-Level Data,Regional & Geographic Terms,,Data summarized or analyzed at the district or county level,Des données résumées ou analysées au niveau du district ou du comté,Local-level datasets used for detailed planning,Jeux de données locaux utilisés pour la planification détaillée,,
National-Level Data,Regional & Geographic Terms,,"Data aggregated at the national scale, often for policy or reporting purposes","Des données agrégées à l’échelle nationale, souvent utilisées à des fins politiques ou de rapport",Country-level data for national analysis,Données nationales utilisées pour l’analyse à l’échelle du pays,,
Continental Dataset,Regional & Geographic Terms,,Datasets covering the entire African continent for regional comparisons and modeling,Des jeux de données couvrant l’ensemble du continent africain pour des comparaisons et modélisations régionales,Pan-African data for broad-scale analysis,Données panafricaines pour l’analyse à grande échelle,,
Researchers,Stakeholder & User Groups,,Individuals conducting scientific research and analysis relevant to climate and agriculture,Les individus menant des recherches et analyses scientifiques liées au climat et à l’agriculture,Scientists contributing to Atlas data and tools,Scientifiques contribuant aux données et outils de l’Atlas,,
Policy-Makers,Stakeholder & User Groups,,Government or institutional actors involved in shaping policy and decisions,Les acteurs gouvernementaux ou institutionnels impliqués dans l’élaboration des politiques et des décisions,Officials who design and guide policies,Responsables qui conçoivent et orientent les politiques,,
Development Agencies,Stakeholder & User Groups,,Organizations that implement programs or projects for development and climate resilience,Les organisations qui mettent en œuvre des programmes ou projets de développement et de résilience climatique,Agencies supporting implementation and scaling,Agences soutenant la mise en œuvre et l’expansion,,
Investors,Stakeholder & User Groups,,Individuals or entities that allocate funds or capital to adaptation and resilience efforts,Les individus ou entités qui allouent des fonds ou du capital à l’adaptation et à la résilience,Those providing finance for climate action,Acteurs finançant les actions climatiques,,
Donor Organization,Stakeholder & User Groups,,Organizations or foundations providing grants or funding for climate and development programs,Les organisations ou fondations fournissant des subventions ou financements pour les programmes climatiques et de développement,Institutions financing adaptation projects,Institutions finançant les projets d’adaptation,,
National Governments,Stakeholder & User Groups,,"National-level public authorities responsible for planning, implementing, and regulating policy","Les autorités publiques nationales responsables de la planification, de la mise en œuvre",Governments leading national adaptation action,Gouvernements menant l’action nationale d’adaptation,,
Non-Governmental Organization,Stakeholder & User Groups,NGO,"Non-profit entities that deliver programs or advocate for development, environment, or social change","Les entités à but non lucratif qui mettent en œuvre des programmes ou plaident pour le développement, l’environnement ou le changement social",Civil society groups supporting adaptation and advocacy,Organisations de la société civile soutenant l’adaptation et le plaidoyer,,
Private Sector,Stakeholder & User Groups,,Businesses and enterprises contributing to or investing in climate-smart and resilient markets,Les entreprises et sociétés contribuant à des marchés résilients et intelligents face au climat ou y investissant,Commercial actors engaging in adaptation and investment,Acteurs commerciaux investissant ou participant à l’adaptation,,
Extension Services,Stakeholder & User Groups,,Public or private organizations that provide agricultural advice and technical support to farmers,Les organisations publiques ou privées qui fournissent des conseils agricoles et un appui technique aux agriculteurs,Services that link farmers with knowledge and innovation,Services reliant les agriculteurs aux connaissances et à l’innovation,,
Farmers,Stakeholder & User Groups,,Individuals or households engaged in cultivating crops or raising livestock for food and income,Les individus ou ménages pratiquant la culture ou l’élevage pour l’alimentation et le revenu,People who grow crops or keep animals,Personnes cultivant des plantes ou élevant des animaux,,
Local Communities,Stakeholder & User Groups,,Groups of people living in a shared area who collectively manage local resources and respond to climate challenges,Les groupes de population vivant dans une même zone et gérant collectivement les ressources locales et les défis climatiques,Populations directly affected by local climate impacts,Populations directement touchées par les impacts climatiques locaux,,
Practitioners,Stakeholder & User Groups,,Professionals applying technical or policy knowledge to implement climate or agricultural solutions,Les professionnels appliquant des connaissances techniques ou politiques pour mettre en œuvre des solutions climatiques ou agricoles,Field experts and implementers of adaptation work,Experts de terrain et praticiens de l’adaptation,,
Data Scientists,Stakeholder & User Groups,,"Specialists who manage, analyze, and interpret large datasets to support decision-making","Les spécialistes qui gèrent, analysent et interprètent de grands volumes de données pour appuyer la prise de décision",Experts who process and analyze data,Spécialistes traitant et analysant les données,,
Analysts,Stakeholder & User Groups,,"Individuals who interpret data to generate insights for planning, investment, or policy","Les individus qui interprètent les données afin de produire des analyses utiles à la planification, à l’investissement ou aux politiques",Professionals turning data into actionable evidence,Professionnels transformant les données en informations exploitables,,
Atlas Community,Atlas Community & Engagement,,"The collective group of users, partners, and contributors involved in building and applying the Atlas","L’ensemble des utilisateurs, partenaires et contributeurs impliqués dans la création et l’application de l’Atlas",Network of people contributing to and using the Atlas,Réseau de personnes contribuant à et utilisant l’Atlas,,
User Engagement,Atlas Community & Engagement,,"The process of involving users and partners in testing, improving, and applying Atlas tools","Le processus d’implication des utilisateurs et partenaires dans le test, l’amélioration et l’application des outils de l’Atlas",Activities that connect users to Atlas development,Activités connectant les utilisateurs au développement de l’Atlas,,
Capacity Building,Atlas Community & Engagement,,Training and learning activities that strengthen the ability of users and institutions to use Atlas data effectively,Les activités de formation et d’apprentissage qui renforcent la capacité des utilisateurs et institutions à exploiter efficacement les données de l’Atlas,Building skills and understanding to use Atlas tools,Renforcement des compétences pour l’utilisation des outils de l’Atlas,,
Community of Practice,Atlas Community & Engagement,,A group of people who regularly share learning and collaborate on similar adaptation or data topics,Un groupe de personnes partageant régulièrement des apprentissages et collaborant sur des thématiques similaires d’adaptation ou de données,Network for shared learning and collaboration,Réseau d’apprentissage et de collaboration partagée,,
Feedback Mechanism,Atlas Community & Engagement,,"A system for collecting user input to improve Atlas content, tools, and usability","Un système permettant de collecter les retours des utilisateurs afin d’améliorer le contenu, les outils et l’ergonomie de l’Atlas",Channel for users to share comments or suggestions,Canal permettant aux utilisateurs de partager leurs retours,,
Data Contributions,Atlas Community & Engagement,,The sharing of datasets or analytical results by partners to expand the Atlas knowledge base,Le partage par les partenaires de jeux de données ou de résultats analytiques pour enrichir la base de connaissances de l’Atlas,Adding data or insights to enrich the Atlas,Ajout de données ou d’analyses pour enrichir l’Atlas,,
Collaboration Portal,Atlas Community & Engagement,,"The online workspace where partners access tools, documents, and communication channels","L’espace de travail en ligne où les partenaires accèdent aux outils, documents et canaux de communication",Shared online space for Atlas collaboration,Espace en ligne partagé pour la collaboration autour de l’Atlas,,
Knowledge Sharing,Atlas Community & Engagement,,"The exchange of experiences, data, and lessons among users to improve climate knowledge","L’échange d’expériences, de données et d’enseignements entre utilisateurs pour renforcer les connaissances climatiques",Sharing ideas and resources within the Atlas network,Partage d’idées et de ressources au sein du réseau de l’Atlas,,
Community Data Hub,Atlas Community & Engagement,,"A shared digital repository where community data are stored, managed, and accessed openly","Un dépôt numérique partagé où les données communautaires sont stockées, gérées et accessibles de manière ouverte",Central hub for community-contributed datasets,Centre principal pour les jeux de données partagés par la communauté,,
